종목명,종목코드,현재가,거래량,거래대금,PER,PBR,EPS,BPS,배당률
대상우,001685,14070.0,1590.0,22371300.0,,,,,
대상,001680,17260.0,45076.0,778011760.0,,,,,
대상홀딩스우,084695,11200.0,1740.0,19488000.0,,,,,
대상홀딩스,084690,7250.0,15770.0,114332500.0,,,,,
대성미생물,036480,6500.0,5330.0,34645000.0,,,,,
대성산업,128820,4070.0,136346.0,554928220.0,,,,,
대성에너지,117580,7010.0,67219.0,471205190.0,,,,,
대성창투,027830,989.0,48294.0,47762766.0,,,,,
대성파인텍,104040,2765.0,110140.0,304537100.0,,,,,
대성하이텍,129920,3980.0,100371.0,399476580.0,,,,,
대성홀딩스,016710,6800.0,16940.0,115192000.0,,,,,
대신밸런스제16호스팩,457630,,,,,,,,
대신밸런스제17호스팩,471050,2095.0,25533.0,53491635.0,,,,,
대신밸런스제18호스팩,478780,,,,,,,,
대신밸런스제19호스팩,482690,2060.0,1050.0,2163000.0,,,,,
대신밸류리츠,0030R0,3725.0,53338.0,198684050.0,,,,,
대신정보통신,020180,901.0,92528.0,83367728.0,,,,,
대신증권우,003545,19900.0,51720.0,1029228000.0,,,,,
대신증권2우B,003547,19330.0,10060.0,194459800.0,,,,,
대신증권,003540,25850.0,63915.0,1652202750.0,,,,,
대아티아이,045390,2555.0,533460.0,1362990300.0,,,,,
대양금속,009190,1877.0,272995.0,512411615.0,,,,,
대양전기공업,108380,16990.0,36691.0,623380090.0,,,,,
대영포장,014160,694.0,485331.0,336819714.0,,,,,
대우건설,047040,15150.0,2794432.0,42335644800.0,,,,,
대웅,003090,16840.0,45787.0,771053080.0,,,,,
대웅제약,069620,121900.0,26682.0,3252535800.0,,,,,
대원,007680,3495.0,48394.0,169137030.0,,,,,
대원강업,000430,3700.0,77653.0,287316100.0,,,,,
대원미디어,048910,4690.0,8416.0,39471040.0,,,,,
대원산업,005710,10610.0,34471.0,365737310.0,,,,,
대원전선우,006345,10900.0,93343.0,1017438700.0,,,,,
대원전선,006340,12230.0,4732713.0,57881079990.0,,,,,
대원제약,003220,7960.0,50375.0,400985000.0,,,,,
대원화성,024890,3080.0,46850.0,144298000.0,,,,,
대유,290380,,,,,,,,
대유에이텍,002880,857.0,510214.0,437253398.0,,,,,
대정화금,120240,14350.0,38595.0,553838250.0,,,,,
대주산업,003310,1700.0,1110987.0,1888677900.0,,,,,
대주이엔티,114920,2655.0,11.0,29205.0,,,,,
대주전자재료,078600,76300.0,118714.0,9057878200.0,,,,,
대진첨단소재,393970,2825.0,0.0,0.0,,,,,
대창단조,015230,5790.0,11783.0,68223570.0,,,,,
대창,012800,1113.0,223943.0,249248559.0,,,,,
대창솔루션,096350,1631.0,144436.0,235575116.0,,,,,
대창스틸,140520,1968.0,21249.0,41818032.0,,,,,
대한과학,131220,3960.0,30907.0,122391720.0,,,,,
대한광통신,010170,10300.0,5005899.0,51560759700.0,,,,,
대한뉴팜,054670,5540.0,11313.0,62674020.0,,,,,
대한방직,001070,6080.0,14616.0,88865280.0,,,,,
대한약품,023910,25650.0,6627.0,169982550.0,,,,,
대한유화,006650,105400.0,12783.0,1347328200.0,,,,,
대한전선,001440,27700.0,1355021.0,37534081700.0,,,,,
대한제강,084010,7220.0,33420.0,241292400.0,,,,,
대한제당우,001795,2100.0,9958.0,20911800.0,,,,,
대한제당,001790,2740.0,282433.0,773866420.0,,,,,
대한제분,001130,11050.0,62512.0,690757600.0,,,,,
대한항공우,003495,21900.0,2239.0,49034100.0,,,,,
대한항공,003490,26500.0,2445402.0,64803153000.0,,,,,
대한해운,005880,1856.0,1829159.0,3394919104.0,,,,,
대한화섬,003830,109300.0,249.0,27215700.0,,,,,
대현,016090,1490.0,124455.0,185437950.0,,,,,
대호에이엘,069460,2660.0,0.0,0.0,,,,,
대호특수강,021040,917.0,11374.0,10429958.0,,,,,
대호특수강우,021045,2510.0,118.0,296180.0,,,,,
대화제약,067080,9990.0,940725.0,9397842750.0,,,,,
더테크놀로지,043090,1140.0,0.0,0.0,,,,,
더네이쳐홀딩스,298540,6140.0,20510.0,125931400.0,,,,,
더라미,032860,633.0,92246.0,58391718.0,,,,,
더바이오메드,214610,2290.0,0.0,0.0,,,,,
더본코리아,475560,14400.0,6739.0,97041600.0,,,,,
더블유게임즈,192080,61600.0,34176.0,2105241600.0,,,,,
더블유씨피,393890,8130.0,63671.0,517645230.0,,,,,
더블유에스아이,299170,1315.0,95752.0,125913880.0,,,,,
THE E&M,089230,1587.0,464583.0,737293221.0,,,,,
더존비즈온,012510,120000.0,0.0,0.0,,,,,
더즌,462860,1890.0,48684.0,92012760.0,,,,,
더코디,224060,4640.0,108572.0,503774080.0,,,,,
더콘텐츠온,302920,440.0,0.0,0.0,,,,,
THE CUBE&,013720,431.0,0.0,0.0,,,,,
덕산네오룩스,213420,31750.0,154345.0,4900453750.0,,,,,
덕산테코피아,317330,10140.0,55302.0,560762280.0,,,,,
